Review,Sentiment
I love this movie,Positive
Amazing acting and story,Positive
Best experience ever,Positive
This product is excellent,Positive
I am very happy with the service,Positive
Terrible product,Negative
Waste of money,Negative
Very disappointing,Negative
I hate this movie,Negative
Worst experience ever,Negative
The service was awful,Negative
The movie was okay,Neutral
It was average,Neutral
Nothing special about it,Neutral
The product is fine,Neutral
It works as expected,Neutral
The experience was normal,Neutral